terms,titles,abstracts
"['stat.ML', 'stat.TH']",Multiplicative noise and heavy tails in stochastic optimization,"Although stochastic optimization is central to modern machine learning, the
precise mechanisms underlying its success, and in particular, the precise role
of the stochasticity, still remain unclear. Modelling stochastic optimization
algorithms as discrete random recurrence relations, we show that multiplicative
noise, as it commonly arises due to variance in local rates of convergence,
results in heavy-tailed stationary behaviour in the parameters. A detailed
analysis is conducted for SGD applied to a simple linear regression problem,
followed by theoretical results for a much larger class of models (including
non-linear and non-convex) and optimizers (including momentum, Adam, and
stochastic Newton), demonstrating that our qualitative results hold much more
generally. In each case, we describe dependence on key factors, including step
size, batch size, and data variability, all of which exhibit similar
qualitative behavior to recent empirical results on state-of-the-art neural
network models from computer vision and natural language processing.
Furthermore, we empirically demonstrate how multiplicative noise and
heavy-tailed structure improve capacity for basin hopping and exploration of
non-convex loss surfaces, over commonly-considered stochastic dynamics with
only additive noise and light-tailed structure."
"['stat.ME', 'stat.ML']",Conditional Hierarchical Bayesian Tucker Decomposition,"Our research focuses on studying and developing methods for reducing the
dimensionality of large datasets, common in biomedical applications. A major
problem when learning information about patients based on genetic sequencing
data is that there are often more feature variables (genetic data) than
observations (patients). This makes direct supervised learning difficult. One
way of reducing the feature space is to use latent Dirichlet allocation in
order to group genetic variants in an unsupervised manner. Latent Dirichlet
allocation is a common model in natural language processing, which describes a
document as a mixture of topics, each with a probability of generating certain
words. This can be generalized as a Bayesian tensor decomposition to account
for multiple feature variables. While we made some progress improving and
modifying these methods, our significant contributions are with hierarchical
topic modeling. We developed distinct methods of incorporating hierarchical
topic modeling, based on nested Chinese restaurant processes and Pachinko
Allocation Machine, into Bayesian tensor decompositions. We apply these models
to predict whether or not patients have autism spectrum disorder based on
genetic sequencing data. We examine a dataset from National Database for Autism
Research consisting of paired siblings -- one with autism, and the other
without -- and counts of their genetic variants. Additionally, we linked the
genes with their Reactome biological pathways. We combine this information into
a tensor of patients, counts of their genetic variants, and the membership of
these genes in pathways. Once we decompose this tensor, we use logistic
regression on the reduced features in order to predict if patients have autism.
We also perform a similar analysis of a dataset of patients with one of four
common types of cancer (breast, lung, prostate, and colorectal)."
"['stat.ME', 'stat.ML']",Show Your Work: Improved Reporting of Experimental Results,"Research in natural language processing proceeds, in part, by demonstrating
that new models achieve superior performance (e.g., accuracy) on held-out test
data, compared to previous results. In this paper, we demonstrate that test-set
performance scores alone are insufficient for drawing accurate conclusions
about which model performs best. We argue for reporting additional details,
especially performance on validation data obtained during model development. We
present a novel technique for doing so: expected validation performance of the
best-found model as a function of computation budget (i.e., the number of
hyperparameter search trials or the overall training time). Using our approach,
we find multiple recent model comparisons where authors would have reached a
different conclusion if they had used more (or less) computation. Our approach
also allows us to estimate the amount of computation required to obtain a given
accuracy; applying it to several recently published results yields massive
variation across papers, from hours to weeks. We conclude with a set of best
practices for reporting experimental results which allow for robust future
comparisons, and provide code to allow researchers to use our technique."
"['stat.ML', 'stat.ME', 'stat.TH']",A Selective Overview of Deep Learning,"Deep learning has arguably achieved tremendous success in recent years. In
simple words, deep learning uses the composition of many nonlinear functions to
model the complex dependency between input features and labels. While neural
networks have a long history, recent advances have greatly improved their
performance in computer vision, natural language processing, etc. From the
statistical and scientific perspective, it is natural to ask: What is deep
learning? What are the new characteristics of deep learning, compared with
classical methods? What are the theoretical foundations of deep learning? To
answer these questions, we introduce common neural network models (e.g.,
convolutional neural nets, recurrent neural nets, generative adversarial nets)
and training techniques (e.g., stochastic gradient descent, dropout, batch
normalization) from a statistical point of view. Along the way, we highlight
new characteristics of deep learning (including depth and over-parametrization)
and explain their practical and theoretical benefits. We also sample recent
results on theories of deep learning, many of which are only suggestive. While
a complete understanding of deep learning remains elusive, we hope that our
perspectives and discussions serve as a stimulus for new statistical research."
"['stat.ML', 'stat.TH']",Testing Closeness With Unequal Sized Samples,"We consider the problem of closeness testing for two discrete distributions
in the practically relevant setting of \emph{unequal} sized samples drawn from
each of them. Specifically, given a target error parameter $\varepsilon > 0$,
$m_1$ independent draws from an unknown distribution $p,$ and $m_2$ draws from
an unknown distribution $q$, we describe a test for distinguishing the case
that $p=q$ from the case that $||p-q||_1 \geq \varepsilon$. If $p$ and $q$ are
supported on at most $n$ elements, then our test is successful with high
probability provided $m_1\geq n^{2/3}/\varepsilon^{4/3}$ and $m_2 =
\Omega(\max\{\frac{n}{\sqrt m_1\varepsilon^2}, \frac{\sqrt
n}{\varepsilon^2}\});$ we show that this tradeoff is optimal throughout this
range, to constant factors. These results extend the recent work of Chan et al.
who established the sample complexity when the two samples have equal sizes,
and tightens the results of Acharya et al. by polynomials factors in both $n$
and $\varepsilon$. As a consequence, we obtain an algorithm for estimating the
mixing time of a Markov chain on $n$ states up to a $\log n$ factor that uses
$\tilde{O}(n^{3/2} \tau_{mix})$ queries to a ""next node"" oracle, improving upon
the $\tilde{O}(n^{5/3}\tau_{mix})$ query algorithm of Batu et al. Finally, we
note that the core of our testing algorithm is a relatively simple statistic
that seems to perform well in practice, both on synthetic data and on natural
language data."
"['stat.ML', 'stat.TH']",Altitude Training: Strong Bounds for Single-Layer Dropout,"Dropout training, originally designed for deep neural networks, has been
successful on high-dimensional single-layer natural language tasks. This paper
proposes a theoretical explanation for this phenomenon: we show that, under a
generative Poisson topic model with long documents, dropout training improves
the exponent in the generalization bound for empirical risk minimization.
Dropout achieves this gain much like a marathon runner who practices at
altitude: once a classifier learns to perform reasonably well on training
examples that have been artificially corrupted by dropout, it will do very well
on the uncorrupted test set. We also show that, under similar conditions,
dropout preserves the Bayes decision boundary and should therefore induce
minimal bias in high dimensions."
['stat.ME'],Densely connected neural networks for nonlinear regression,"Densely connected convolutional networks (DenseNet) behave well in image
processing. However, for regression tasks, convolutional DenseNet may lose
essential information from independent input features. To tackle this issue, we
propose a novel DenseNet regression model where convolution and pooling layers
are replaced by fully connected layers and the original concatenation shortcuts
are maintained to reuse the feature. To investigate the effects of depth and
input dimension of proposed model, careful validations are performed by
extensive numerical simulation. The results give an optimal depth (19) and
recommend a limited input dimension (under 200). Furthermore, compared with the
baseline models including support vector regression, decision tree regression,
and residual regression, our proposed model with the optimal depth performs
best. Ultimately, DenseNet regression is applied to predict relative humidity,
and the outcome shows a high correlation (0.91) with observations, which
indicates that our model could advance environmental data analysis."
"['stat.ML', 'stat.TH']",Universal Consistency of Decision Trees in High Dimensions,"This paper shows that decision trees constructed with Classification and
Regression Trees (CART) methodology are universally consistent in an additive
model context, even when the number of predictor variables scales exponentially
with the sample size, under certain $1$-norm sparsity constraints. The
consistency is universal in the sense that there are no a priori assumptions on
the distribution of the predictor variables. Amazingly, this adaptivity to
(approximate or exact) sparsity is achieved with a single tree, as opposed to
what might be expected for an ensemble. Finally, we show that these qualitative
properties of individual trees are inherited by Breiman's random forests.
Another surprise is that consistency holds even when the ""mtry"" tuning
parameter vanishes as a fraction of the number of predictor variables, thus
speeding up computation of the forest. A key step in the analysis is the
establishment of an oracle inequality, which precisely characterizes the
goodness-of-fit and complexity tradeoff for a misspecified model."
"['stat.ML', 'stat.ME', 'stat.TH']",Adaptive transfer learning,"In transfer learning, we wish to make inference about a target population
when we have access to data both from the distribution itself, and from a
different but related source distribution. We introduce a flexible framework
for transfer learning in the context of binary classification, allowing for
covariate-dependent relationships between the source and target distributions
that are not required to preserve the Bayes decision boundary. Our main
contributions are to derive the minimax optimal rates of convergence (up to
poly-logarithmic factors) in this problem, and show that the optimal rate can
be achieved by an algorithm that adapts to key aspects of the unknown transfer
relationship, as well as the smoothness and tail parameters of our
distributional classes. This optimal rate turns out to have several regimes,
depending on the interplay between the relative sample sizes and the strength
of the transfer relationship, and our algorithm achieves optimality by careful,
decision tree-based calibration of local nearest-neighbour procedures."
['stat.TH'],Analyzing the tree-layer structure of Deep Forests,"Random forests on the one hand, and neural networks on the other hand, have
met great success in the machine learning community for their predictive
performance. Combinations of both have been proposed in the literature, notably
leading to the so-called deep forests (DF) (Zhou \& Feng,2019). In this paper,
our aim is not to benchmark DF performances but to investigate instead their
underlying mechanisms. Additionally, DF architecture can be generally
simplified into more simple and computationally efficient shallow forest
networks. Despite some instability, the latter may outperform standard
predictive tree-based methods. We exhibit a theoretical framework in which a
shallow tree network is shown to enhance the performance of classical decision
trees. In such a setting, we provide tight theoretical lower and upper bounds
on its excess risk. These theoretical results show the interest of tree-network
architectures for well-structured data provided that the first layer, acting as
a data encoder, is rich enough."
"['stat.ML', 'stat.TH']",SIRUS: Stable and Interpretable RUle Set for Classification,"State-of-the-art learning algorithms, such as random forests or neural
networks, are often qualified as ""black-boxes"" because of the high number and
complexity of operations involved in their prediction mechanism. This lack of
interpretability is a strong limitation for applications involving critical
decisions, typically the analysis of production processes in the manufacturing
industry. In such critical contexts, models have to be interpretable, i.e.,
simple, stable, and predictive. To address this issue, we design SIRUS (Stable
and Interpretable RUle Set), a new classification algorithm based on random
forests, which takes the form of a short list of rules. While simple models are
usually unstable with respect to data perturbation, SIRUS achieves a remarkable
stability improvement over cutting-edge methods. Furthermore, SIRUS inherits a
predictive accuracy close to random forests, combined with the simplicity of
decision trees. These properties are assessed both from a theoretical and
empirical point of view, through extensive numerical experiments based on our
R/C++ software implementation sirus available from CRAN."
"['stat.ML', 'stat.ME']",Hard and Soft EM in Bayesian Network Learning from Incomplete Data,"Incomplete data are a common feature in many domains, from clinical trials to
industrial applications. Bayesian networks (BNs) are often used in these
domains because of their graphical and causal interpretations. BN parameter
learning from incomplete data is usually implemented with the
Expectation-Maximisation algorithm (EM), which computes the relevant sufficient
statistics (""soft EM"") using belief propagation. Similarly, the Structural
Expectation-Maximisation algorithm (Structural EM) learns the network structure
of the BN from those sufficient statistics using algorithms designed for
complete data. However, practical implementations of parameter and structure
learning often impute missing data (""hard EM"") to compute sufficient statistics
instead of using belief propagation, for both ease of implementation and
computational speed. In this paper, we investigate the question: what is the
impact of using imputation instead of belief propagation on the quality of the
resulting BNs? From a simulation study using synthetic data and reference BNs,
we find that it is possible to recommend one approach over the other in several
scenarios based on the characteristics of the data. We then use this
information to build a simple decision tree to guide practitioners in choosing
the EM algorithm best suited to their problem."
"['stat.ML', 'stat.TH']",Sparse learning with CART,"Decision trees with binary splits are popularly constructed using
Classification and Regression Trees (CART) methodology. For regression models,
this approach recursively divides the data into two near-homogenous daughter
nodes according to a split point that maximizes the reduction in sum of squares
error (the impurity) along a particular variable. This paper aims to study the
statistical properties of regression trees constructed with CART methodology.
In doing so, we find that the training error is governed by the Pearson
correlation between the optimal decision stump and response data in each node,
which we bound by constructing a prior distribution on the split points and
solving a nonlinear optimization problem. We leverage this connection between
the training error and Pearson correlation to show that CART with
cost-complexity pruning achieves an optimal complexity/goodness-of-fit tradeoff
when the depth scales with the logarithm of the sample size. Data dependent
quantities, which adapt to the dimensionality and latent structure of the
regression model, are seen to govern the rates of convergence of the prediction
error."
['stat.CO'],TreeGen -- a Monte Carlo generator for data frames,"The typical problem in Data Science is creating a structure that encodes the
occurrence frequency of unique elements in rows and relations between different
rows of a data frame. We present the probability tree abstract data structure,
an extension of the decision tree, that facilitates more than two choices with
assigned probabilities. Such a tree represents statistical relations between
different rows of the data frame. The Probability Tree algorithmic structure is
supplied with the Generator module that is a Monte Carlo generator that
traverses through the tree. These two components are implemented in TreeGen
Python package. The package can be used in increasing data multiplicity,
compressing data preserving its statistical information, constructing
hierarchical models, exploring data, and in feature extraction."
"['stat.ML', 'stat.CO', 'stat.ME']",Continuous-Time Birth-Death MCMC for Bayesian Regression Tree Models,"Decision trees are flexible models that are well suited for many statistical
regression problems. In a Bayesian framework for regression trees, Markov Chain
Monte Carlo (MCMC) search algorithms are required to generate samples of tree
models according to their posterior probabilities. The critical component of
such an MCMC algorithm is to construct good Metropolis-Hastings steps for
updating the tree topology. However, such algorithms frequently suffering from
local mode stickiness and poor mixing. As a result, the algorithms are slow to
converge. Hitherto, authors have primarily used discrete-time birth/death
mechanisms for Bayesian (sums of) regression tree models to explore the model
space. These algorithms are efficient only if the acceptance rate is high which
is not always the case. Here we overcome this issue by developing a new search
algorithm which is based on a continuous-time birth-death Markov process. This
search algorithm explores the model space by jumping between parameter spaces
corresponding to different tree structures. In the proposed algorithm, the
moves between models are always accepted which can dramatically improve the
convergence and mixing properties of the MCMC algorithm. We provide theoretical
support of the algorithm for Bayesian regression tree models and demonstrate
its performance."
"['stat.ML', 'stat.TH']",Distributional Generalization: A New Kind of Generalization,"We introduce a new notion of generalization -- Distributional Generalization
-- which roughly states that outputs of a classifier at train and test time are
close *as distributions*, as opposed to close in just their average error. For
example, if we mislabel 30% of dogs as cats in the train set of CIFAR-10, then
a ResNet trained to interpolation will in fact mislabel roughly 30% of dogs as
cats on the *test set* as well, while leaving other classes unaffected. This
behavior is not captured by classical generalization, which would only consider
the average error and not the distribution of errors over the input domain. Our
formal conjectures, which are much more general than this example, characterize
the form of distributional generalization that can be expected in terms of
problem parameters: model architecture, training procedure, number of samples,
and data distribution. We give empirical evidence for these conjectures across
a variety of domains in machine learning, including neural networks, kernel
machines, and decision trees. Our results thus advance our empirical
understanding of interpolating classifiers."
"['stat.ML', 'stat.TH']",Rare-Event Simulation for Neural Network and Random Forest Predictors,"We study rare-event simulation for a class of problems where the target
hitting sets of interest are defined via modern machine learning tools such as
neural networks and random forests. This problem is motivated from fast
emerging studies on the safety evaluation of intelligent systems, robustness
quantification of learning models, and other potential applications to
large-scale simulation in which machine learning tools can be used to
approximate complex rare-event set boundaries. We investigate an importance
sampling scheme that integrates the dominating point machinery in large
deviations and sequential mixed integer programming to locate the underlying
dominating points. Our approach works for a range of neural network
architectures including fully connected layers, rectified linear units,
normalization, pooling and convolutional layers, and random forests built from
standard decision trees. We provide efficiency guarantees and numerical
demonstration of our approach using a classification model in the UCI Machine
Learning Repository."
"['stat.ML', 'stat.ME']","Transparency, Auditability and eXplainability of Machine Learning Models in Credit Scoring","A major requirement for credit scoring models is to provide a maximally
accurate risk prediction. Additionally, regulators demand these models to be
transparent and auditable. Thus, in credit scoring, very simple predictive
models such as logistic regression or decision trees are still widely used and
the superior predictive power of modern machine learning algorithms cannot be
fully leveraged. Significant potential is therefore missed, leading to higher
reserves or more credit defaults. This paper works out different dimensions
that have to be considered for making credit scoring models understandable and
presents a framework for making ``black box'' machine learning models
transparent, auditable and explainable. Following this framework, we present an
overview of techniques, demonstrate how they can be applied in credit scoring
and how results compare to the interpretability of score cards. A real world
case study shows that a comparable degree of interpretability can be achieved
while machine learning techniques keep their ability to improve predictive
power."
"['stat.ML', 'stat.CO']",StructureBoost: Efficient Gradient Boosting for Structured Categorical Variables,"Gradient boosting methods based on Structured Categorical Decision Trees
(SCDT) have been demonstrated to outperform numerical and one-hot-encodings on
problems where the categorical variable has a known underlying structure.
However, the enumeration procedure in the SCDT is infeasible except for
categorical variables with low or moderate cardinality. We propose and
implement two methods to overcome the computational obstacles and efficiently
perform Gradient Boosting on complex structured categorical variables. The
resulting package, called StructureBoost, is shown to outperform established
packages such as CatBoost and LightGBM on problems with categorical predictors
that contain sophisticated structure. Moreover, we demonstrate that
StructureBoost can make accurate predictions on unseen categorical values due
to its knowledge of the underlying structure."
"['stat.ML', 'stat.TH']",On the consistency of supervised learning with missing values,"In many application settings, the data have missing entries which make
analysis challenging. An abundant literature addresses missing values in an
inferential framework: estimating parameters and their variance from incomplete
tables. Here, we consider supervised-learning settings: predicting a target
when missing values appear in both training and testing data. We show the
consistency of two approaches in prediction. A striking result is that the
widely-used method of imputing with a constant, such as the mean prior to
learning is consistent when missing values are not informative. This contrasts
with inferential settings where mean imputation is pointed at for distorting
the distribution of the data. That such a simple approach can be consistent is
important in practice. We also show that a predictor suited for complete
observations can predict optimally on incomplete data,through multiple
imputation.Finally, to compare imputation with learning directly with a model
that accounts for missing values, we analyze further decision trees. These can
naturally tackle empirical risk minimization with missing values, due to their
ability to handle the half-discrete nature of incomplete variables. After
comparing theoretically and empirically different missing values strategies in
trees, we recommend using the ""missing incorporated in attribute"" method as it
can handle both non-informative and informative missing values."
"['stat.ML', 'stat.TH']",Multi-Scale Vector Quantization with Reconstruction Trees,"We propose and study a multi-scale approach to vector quantization. We
develop an algorithm, dubbed reconstruction trees, inspired by decision trees.
Here the objective is parsimonious reconstruction of unsupervised data, rather
than classification. Contrasted to more standard vector quantization methods,
such as K-means, the proposed approach leverages a family of given partitions,
to quickly explore the data in a coarse to fine-- multi-scale-- fashion. Our
main technical contribution is an analysis of the expected distortion achieved
by the proposed algorithm, when the data are assumed to be sampled from a fixed
unknown distribution. In this context, we derive both asymptotic and finite
sample results under suitable regularity assumptions on the distribution. As a
special case, we consider the setting where the data generating distribution is
supported on a compact Riemannian sub-manifold. Tools from differential
geometry and concentration of measure are useful in our analysis."
"['stat.ML', 'stat.CO', 'stat.ME']",Subsampling Bias and The Best-Discrepancy Systematic Cross Validation,"Statistical machine learning models should be evaluated and validated before
putting to work. Conventional k-fold Monte Carlo Cross-Validation (MCCV)
procedure uses a pseudo-random sequence to partition instances into k subsets,
which usually causes subsampling bias, inflates generalization errors and
jeopardizes the reliability and effectiveness of cross-validation. Based on
ordered systematic sampling theory in statistics and low-discrepancy sequence
theory in number theory, we propose a new k-fold cross-validation procedure by
replacing a pseudo-random sequence with a best-discrepancy sequence, which
ensures low subsampling bias and leads to more precise
Expected-Prediction-Error estimates. Experiments with 156 benchmark datasets
and three classifiers (logistic regression, decision tree and naive bayes) show
that in general, our cross-validation procedure can extrude subsampling bias in
the MCCV by lowering the EPE around 7.18% and the variances around 26.73%. In
comparison, the stratified MCCV can reduce the EPE and variances of the MCCV
around 1.58% and 11.85% respectively. The Leave-One-Out (LOO) can lower the EPE
around 2.50% but its variances are much higher than the any other CV procedure.
The computational time of our cross-validation procedure is just 8.64% of the
MCCV, 8.67% of the stratified MCCV and 16.72% of the LOO. Experiments also show
that our approach is more beneficial for datasets characterized by relatively
small size and large aspect ratio. This makes our approach particularly
pertinent when solving bioscience classification problems. Our proposed
systematic subsampling technique could be generalized to other machine learning
algorithms that involve random subsampling mechanism."
"['stat.ML', 'stat.ME']",Explaining the Success of AdaBoost and Random Forests as Interpolating Classifiers,"There is a large literature explaining why AdaBoost is a successful
classifier. The literature on AdaBoost focuses on classifier margins and
boosting's interpretation as the optimization of an exponential likelihood
function. These existing explanations, however, have been pointed out to be
incomplete. A random forest is another popular ensemble method for which there
is substantially less explanation in the literature. We introduce a novel
perspective on AdaBoost and random forests that proposes that the two
algorithms work for similar reasons. While both classifiers achieve similar
predictive accuracy, random forests cannot be conceived as a direct
optimization procedure. Rather, random forests is a self-averaging,
interpolating algorithm which creates what we denote as a ""spikey-smooth""
classifier, and we view AdaBoost in the same light. We conjecture that both
AdaBoost and random forests succeed because of this mechanism. We provide a
number of examples and some theoretical justification to support this
explanation. In the process, we question the conventional wisdom that suggests
that boosting algorithms for classification require regularization or early
stopping and should be limited to low complexity classes of learners, such as
decision stumps. We conclude that boosting should be used like random forests:
with large decision trees and without direct regularization or early stopping."
